"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9096","9263","9436","9840","9897","10185","10250","10390","10346","10012","9944","9231","9535","9694","9791","9816","9577","9391","","8736","8642","8448","8398","7714","","7719",
"Africa Eastern and Southern","AFE","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","19760248","19237090","19992448","20860424","22621776","23909982","25110340","26347658","27416116","29268166","31264122","32692678","33672588","34341676","34801192","34597788","35378144","35859244","36631292","38461140","38295988","40174788","40442368","42123588","43198592","45538828","46526624","50018328","51625832","52120304","54585108","57801984","60955680","65256504","68481288","72684280","76345256","81806896","86885000","88636152","90179080","92441616","95055512","97300976","100076632","101477368","104837552","108406080","112417552","115847760","119130712","119747560","118358656","119810368","121027968",
"Afghanistan","AFG","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","540685","572933","597509","624374","654209","692342","729667","764175","810657","","959583","1024741","365458","","447351","479150","512809","","651622","622135","622513","627888","","786532","1161444","1312197","","","1046338","875605","749360","773623","2667629","3781015","4430142","4318819","4669110","4718077","4974836","4945632","5279326","5291624","5767543","5986268","6217756","6199329","6265011","6350404","6544906","6777785","","","","","",
"Africa Western and Central","AFW","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","8064369","8612076","9262617","9840475","10155358","10550301","10982013","12624778","14892847","17074448","18390914","20070922","22057028","22904582","23426204","23547004","22436870","22689844","22841512","23283912","24436996","25106566","26395516","27893874","28696642","28820840","27615712","29692606","31641668","33666376","35908908","37072632","38850492","40216864","42228620","43820840","45448912","45395008","45484228","47813412","49764476","53310196","55902976","58294892","59049804","59493736","60993404","62858176","64506332","66820876","68840464","70302024","72806080","75093880","75774088",
"Angola","AGO","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","434370","485955","516131","576420","","","","","","1420839","1300673","1258858","1178430","1065025","870410","974498","1012303","1031314","1067906","1041126","990155","989444","","","","","","1342116","","","","","","","","","3558605","3930051","4046266","4273006","5026803","","","","5620915","","","","","","5217940","","5383867","",
"Albania","ALB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","293723","","284644","280593","272277","269016","267850","267200","270990","272935","274660","272585","271728","275426","278446","284616","281770","279500","288092","295137","301051","303632","299164","292070","283249","274233","263603","252829","240487","237975","222402","210125","199454","236102","224781","215660","206617","198897","195720","188371","179564","174836","170861","167104","162170","158528","154140","146962","141089",
"Andorra","AND","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","2185","","","","","","","","3453","","","","","","","","","","","","","","","","","","","4108","4142","4264","4085","4332","4427","4492","4474","4367","4263","4130","4068","4065","4164","4248","4263","4325","4322","4246","4110","4099","4271","4218",
"Arab World","ARB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","18410066","17789388","18493582","19157030","19624026","20341372","21159528","21829052","22380772","20788786","24088206","24555532","25243746","25950980","26735320","27269842","28097422","29078314","29945670","30525442","30382846","31585994","31179824","31906544","33418476","33335324","34528236","35142692","35535140","36204564","36659744","37250136","37910556","37665248","38024788","39782116","40647232","40702588","41177300","41164772","41943600","42178652","43542952","42864344","44482132","45578996","46855984","48357552","49714952","51105488","52555300","53488316","53565120","55186132","55621560",
"United Arab Emirates","ARE","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","22009","26130","30495","34731","40229","52207","60742","67058","72627","80470","88617","103937","115211","126726","137700","152125","165463","180270","197869","215532","228980","231674","238469","251182","262628","260919","259509","262653","270486","273144","280248","285744","248370","254602","262807","272331","","","","","","","","","","","","642987","654732","532702","517647","534889","554644","586477",
"Argentina","ARG","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","3385790","3443669","3464437","3485495","3544591","3571180","3600659","3680185","3726748","3819440","3917449","4054374","4197372","","4430513","4589291","4778264","4906907","4998963","","4965396","5043792","","","5180713","","5250329","5153256","4665761","4823808","4900956","4950674","4986758","4885664","4923075","4872889","4928319","4951505","4975520","4961821","4701085.0010888","4682481.02025608","4666456.01071902","4623829.99983589","4610157.0204098","4607489.9998894","4603923.02105101","4608408.0006131","4609487.0104113","4623984.02140192","4645972.000012","4662461.00000955","4630673.0001711","4580276.01002986","",
